formula,elements,num_atoms,a,b,c,alpha,beta,gamma,angle_deviation,angle_std,space_group_number,space_group_symbol,crystal_system,symprec_used,min_bond_length,max_bond_length,bond_length_range,min_coordination,max_coordination,fraction_sp,fraction_other,row_index,split,source_file,material_id,relative_energy,volume_ratio,lattice_asymmetry,bond_complexity,hybridization_diversity
C,C,8,2.48323,5.01052,4.05185,113.84982,101.04279,85.59381,39.29879999999999,11.552263374101194,9,Cc,monoclinic,0.01,1.5067742559563704,1.5825943917750391,0.0758201358186687,4.0,4.0,0.0,0.0,10,train,huggingface,C-76016-983-23,0.4867428333333237,5.656940613968206,1.6494283654756112,0.0180456052810647,-1.0000000826903709e-10
C,C,8,2.49384,6.33553,4.21185,49.57982000000001,106.80392999999998,92.38066,59.60476999999997,24.300300381066613,1,P1,triclinic,0.01,1.386752060345076,1.6299348441250503,0.2431827837799742,3.0,4.0,0.0,0.0,11,train,huggingface,C-170888-2365-32,0.443600333333336,5.939652587796526,2.229373175504443,0.0468146340681994,0.6931471803599453
C,C,6,2.48146,3.68878,4.83759,111.45597,104.85401,109.66536999999998,55.97534999999998,2.787697362244804,12,C2/m,monoclinic,0.01,1.4917218739658549,1.5740161753579918,0.0822943013921371,4.0,4.0,0.0,0.0,12,train,huggingface,C-141037-8469-46,0.2470925000000079,5.830439928550682,1.43602959548008,0.0159238245213616,-1.0000000826903709e-10
C,C,6,3.1169299999999995,3.6486,4.81011,112.15257,80.92832,119.47547,60.69972000000001,16.71480190860451,2,P-1,triclinic,0.01,1.363728135518201,1.4344902407813938,0.0707621052631928,3.0,3.0,0.0,0.0,13,train,huggingface,C-157689-1881-41,0.4349520000000098,7.3467662472443775,0.7137953049956209,0.0165735034899463,-1.0000000826903709e-10
C,C,6,2.42797,3.73386,4.81223,96.60006,103.00715,87.8012,21.80601000000001,6.233348083495919,12,C2/m,monoclinic,0.01,1.3978490017079808,1.4044722821269584,0.0066232804189776,3.0,3.0,0.0,0.0,14,train,huggingface,C-72730-1850-7,0.1357051666666677,7.036940510509003,1.5198499157732597,0.0019229085871852,-1.0000000826903709e-10
C,C,10,3.67304,4.8344,4.87821,112.53999,98.61853,112.08562,53.244140000000016,6.458207643478868,1,P1,triclinic,0.01,1.344506903644707,1.5572173370468063,0.2127104334020992,3.0,4.0,0.0,0.0,15,train,huggingface,C-41262-9862-31,0.4092593333333241,6.96237254161054,0.6442973667588701,0.040331026012641,0.6730116668092565
C,C,8,2.47199,4.15251,5.79723,69.3463,64.87265,90.01300000000002,45.79405000000003,10.950206651195636,10,P2/m,monoclinic,0.01,1.3259755936178854,1.619345288875042,0.2933696952571567,3.0,4.0,0.0,0.0,16,train,huggingface,C-76050-9799-65,0.3841190833333314,6.202199839896395,2.02499201048548,0.0596065927054235,0.6931471803599453
C,C,14,2.44414,6.0603,7.21977,99.10146,99.736,66.12052000000001,42.71694,15.69906416151258,1,P1,triclinic,0.01,1.3892521262120274,1.6172657566160982,0.2280136304040707,3.0,4.0,0.0,0.0,17,train,huggingface,C-130538-6665-48,0.2803631904761801,6.849954929152886,3.433432618426113,0.0407553097985517,0.6829081045004717
C,C,12,2.4298,5.360769999999999,7.45187,84.83628,70.92882,89.9215,24.3134,8.027721412444642,1,P1,triclinic,0.01,1.3880346172087783,1.5958136475341944,0.2077790303254159,3.0,4.0,0.0,0.0,18,train,huggingface,C-47644-8979-61,0.4819420000000036,7.610387334345419,3.2731253601119428,0.0424342996168736,0.6365141680948128
C,C,6,2.49028,3.5935500000000005,4.35454,84.29282,73.40105,69.70179,42.60433999999999,6.193305837231754,8,Cm,monoclinic,0.01,1.51246260617606,1.5687804245698656,0.0563178183938055,4.0,4.0,0.0,0.0,19,train,huggingface,C-41262-9862-12,0.357844,5.83758741069721,1.191645116211832,0.0122327483706949,-1.0000000826903709e-10
C,C,6,2.51161,4.11307,4.19018,119.39622,107.61574000000002,89.99932,47.012640000000005,12.079807266015829,71,Immm,orthorhombic,0.01,1.3580849454462525,1.567915211725658,0.2098302662794056,3.0,4.0,0.0,0.0,20,train,huggingface,C-130532-5775-40,0.3256188333333227,5.894151570173945,1.3059471812900885,0.0417743594658131,0.6365141680948128
C,C,6,3.63337,3.27351,3.27022,80.81783,75.45314,75.453,38.27602999999999,2.5289721176047424,12,C2/m,monoclinic,0.01,1.3446756264458717,1.5695733785101953,0.2248977520643236,3.0,4.0,0.0,0.0,21,train,huggingface,C-176689-6597-36,0.3538203333333456,6.041331080697617,0.198991569809846,0.0397611071317186,0.6365141680948128
C,C,8,2.45451,4.38792,5.17379,52.14460999999999,89.57145999999999,90.36451,38.648440000000015,17.83304917292298,2,P-1,triclinic,0.01,1.4597285578859522,1.5955185726425116,0.1357900147565593,4.0,4.0,0.0,0.0,22,train,huggingface,C-113078-2193-52,0.4682965833333412,5.498885678922269,1.8955677507934372,0.0255305000685468,-1.0000000826903709e-10
C,C,10,2.43889,4.22919,6.52569,90.13684,100.68330000000002,90.00136000000002,10.821500000000045,5.003887550090987,1,P1,triclinic,0.01,1.3880364568439694,1.5903572292315595,0.2023207723875901,3.0,4.0,0.0,0.0,23,train,huggingface,C-152605-7685-1,0.3004593333333218,6.614254109978326,2.409743776882107,0.0402541145724578,0.6730116668092565
C,C,12,2.50785,3.41812,9.62215,84.73246999999999,97.52798,68.46338000000002,34.33212999999999,11.893786140241462,74,Imma,orthorhombic,0.01,1.4674225849933724,1.5812893613839976,0.1138667763906251,4.0,4.0,0.0,0.0,24,train,huggingface,C-142789-7601-3,0.431240333333335,6.265167564685488,3.199780688637678,0.0261268286732032,-1.0000000826903709e-10
C,C,8,2.47126,5.312710000000001,4.8098,111.27787,120.76299000000002,89.66479,52.37607000000003,13.013628632838053,10,P2/m,monoclinic,0.01,1.337394583772909,1.6151912727401845,0.2777966889672749,3.0,4.0,0.0,0.0,25,train,huggingface,C-177264-2024-14,0.3804315833333191,6.159121277713528,2.096092681466136,0.056449906458343,0.6931471803599453
C,C,8,3.3936,3.40154,4.11528,78.54630999999999,101.45376,86.12945000000002,26.77799999999999,9.5282606243987,12,C2/m,monoclinic,0.01,1.4798252603507231,1.6531008068453843,0.1732755464946611,4.0,4.0,0.0,0.0,26,train,huggingface,C-9592-5537-24,0.2304853333333199,5.668465503941289,0.2149988213107028,0.0357475213161459,-1.0000000826903709e-10
C,C,18,4.550839999999999,3.65341,8.99029,74.89330999999999,71.89721000000002,97.70929,40.91877,11.526823945797998,1,P1,triclinic,0.01,1.3448293641995188,1.5140820478395365,0.1692526836400174,3.0,3.0,0.0,0.0,27,train,huggingface,C-104334-7299-44,0.3300308888888992,7.407905180183338,1.1727241564194744,0.0302589660976981,-1.0000000826903709e-10
C,C,6,2.48102,3.69022,4.84442,57.39669,75.0844,70.2878,67.23111,7.468773316178948,12,C2/m,monoclinic,0.01,1.4940783446724597,1.5718845018930654,0.0778061572206056,4.0,4.0,0.0,0.0,28,train,huggingface,C-92124-4005-36,0.2446704999999838,5.835671245944007,1.439972269469815,0.0157299858306919,-1.0000000826903709e-10
C,C,6,2.48158,3.68816,4.2196,74.9506,89.90189,70.3462,34.801310000000015,8.347764726761024,2,P-1,triclinic,0.01,1.4926554785580606,1.5758591522832477,0.0832036737251871,4.0,4.0,0.0,0.0,29,train,huggingface,C-176661-8591-46,0.2466026666666607,5.827739864542711,1.1865827416404062,0.0157208836889849,-1.0000000826903709e-10
C,C,10,2.9492799999999995,4.8375,5.76354,66.20084000000001,100.36573,88.36475,35.800139999999985,14.1519615293766,1,P1,triclinic,0.01,1.394648458556696,1.4409261022300737,0.0462776436733776,3.0,3.0,0.0,0.0,30,train,huggingface,C-72701-1899-2,0.3038773333333324,7.354019299373239,1.594450170889167,0.0093383552332323,-1.0000000826903709e-10
C,C,6,2.48762,2.48761,6.57671,67.74614,79.08109,59.98402,63.18875,7.841695401872963,227,Fd-3m,cubic,0.01,1.5214009941797113,1.5242467691141364,0.002845774934425,4.0,4.0,0.0,0.0,31,train,huggingface,C-176679-1286-38,0.0135085000000003,5.43585558651823,1.643779998552834,0.0005203176031066,-1.0000000826903709e-10
C,C,8,2.43087,4.07727,6.79703,108.95262999999998,115.18719,86.84643,47.29338999999997,12.159826818079638,12,C2/m,monoclinic,0.01,1.4010662983248712,1.4040940772558437,0.0030277789309725,3.0,3.0,0.0,0.0,32,train,huggingface,C-102915-7408-31,0.0959053333333201,7.173034359403691,2.473418981681456,0.0008266676850931,-1.0000000826903709e-10
C,C,12,2.46312,4.98771,6.69667,63.38295,100.60575,90.0141,37.2369,15.659353044267188,1,P1,triclinic,0.01,1.342254878034916,1.712400663829028,0.3701457857941121,3.0,4.0,0.0,0.0,33,train,huggingface,C-76008-2415-39,0.3088553333333266,5.998185292985649,2.7437315274935856,0.0496319124364748,0.6365141680948128
C,C,8,4.67808,3.78465,4.29654,89.15994,124.47009,107.39485,52.705,14.417899588082244,2,P-1,triclinic,0.01,1.3746980772008537,1.4649248019930108,0.0902267247921573,3.0,3.0,0.0,0.0,34,train,huggingface,C-90796-891-29,0.3553403333333449,7.334941113510553,0.272541298994459,0.026396593084097,-1.0000000826903709e-10
C,C,10,2.43911,4.22873,6.52398,89.76256,79.23673,90.00714000000002,11.007850000000031,5.020564909930185,1,P1,triclinic,0.01,1.3876114975615652,1.588065301791457,0.2004538042298917,3.0,4.0,0.0,0.0,35,train,huggingface,C-96663-8819-13,0.3013743333333423,6.61061063165995,2.4084563631816525,0.0401091813667464,0.6730116668092565
C,C,10,2.48312,3.63064,7.32306,119.73560000000002,90.00217,89.9992,29.738570000000024,14.017173408778095,51,Pmma,orthorhombic,0.01,1.4885821856180717,1.5798245276230714,0.0912423420049997,4.0,4.0,0.0,0.0,36,train,huggingface,C-96672-9795-27,0.2592203333333316,5.7326449260653005,2.4112648603369955,0.0169129890886088,-1.0000000826903709e-10
C,C,8,2.9791300000000005,4.30411,4.84998,84.72388,82.11366,67.72619,35.43627000000001,7.47391022740216,12,C2/m,monoclinic,0.01,1.3982664923461112,1.4038488449722797,0.0055823526261682,3.0,3.0,0.0,0.0,37,train,huggingface,C-9620-6892-54,0.1290740833333359,7.118761840332163,1.072739356792083,0.0015992730101806,-1.0000000826903709e-10
C,C,6,3.64211,3.42975,4.83023,122.66702,67.64276,119.87713999999998,84.90139999999998,25.306747174411804,2,P-1,triclinic,0.01,1.3947260949216056,1.4449896494103556,0.0502635544887499,3.0,3.0,0.0,0.0,38,train,huggingface,C-176685-9184-37,0.4360293333333231,7.254238361430808,0.3845243553873991,0.0120947067399201,-1.0000000826903709e-10
C,C,8,3.08656,3.99484,5.58715,82.23913,119.85025,108.51357,56.12468999999999,15.753175547208103,2,P-1,triclinic,0.01,1.395977979079846,1.406762374288134,0.010784395208288,3.0,3.0,0.0,0.0,39,train,huggingface,C-73631-2702-49,0.1197565833333271,7.079631032755332,1.1044236949873003,0.0026437076511561,-1.0000000826903709e-10
C,C,6,3.66152,4.2026,4.19798,119.97028000000002,128.05131,77.81593,80.20566000000002,22.024949674624818,2,P-1,triclinic,0.01,1.398544958982881,1.4014821576653858,0.0029371986825048,3.0,3.0,0.0,0.0,40,train,huggingface,C-96682-5217-47,0.1302230000000008,7.27001263212627,0.294287618256899,0.0008187801772777,-1.0000000826903709e-10
C,C,10,2.4848100000000004,4.1746,6.1773,90.00153,113.90048000000002,90.02744,23.929450000000017,11.25997099499028,6,Pm,monoclinic,0.01,1.3646716661924685,1.5671398536240766,0.2024681874316081,3.0,4.0,0.0,0.0,41,train,huggingface,C-53820-5674-34,0.3627403333333348,5.858304228747311,2.1660730599120246,0.0293191919023672,0.5004024233381879
C,C,10,2.45217,3.3325,9.40976,84.21950000000001,90.02416,68.20707000000002,27.59758999999997,9.22603446948181,1,P1,triclinic,0.01,1.4020826966427735,1.5802855187752471,0.1782028221324734,3.0,4.0,0.0,0.0,42,train,huggingface,C-157717-1262-39,0.3041373333333297,7.097703715086975,3.1963199941276503,0.039014827965555,0.6730116668092565
C,C,10,2.44808,5.85555,5.58182,59.76776000000001,77.30729,65.25587,67.66908,7.3256868317312,12,C2/m,monoclinic,0.01,1.3937875072806818,1.5973621254963537,0.2035746182156719,3.0,4.0,0.0,0.0,43,train,huggingface,C-176654-3153-49,0.3759153333333245,6.278054799320463,2.671975589033038,0.0395931919507386,0.6730116668092565
C,C,8,2.48462,4.6778,4.08675,96.68474,89.99540000000002,105.44199,22.13132999999999,6.3248525659250605,8,Cm,monoclinic,0.01,1.4832421470241162,1.5986493511602773,0.1154072041361611,4.0,4.0,0.0,0.0,44,train,huggingface,C-9646-232-63,0.1884615833333214,5.68110517664512,1.527521311105924,0.0221013589702009,-1.0000000826903709e-10
C,C,10,3.27774,3.27937,5.56821,89.67002,89.66048,81.14487,9.524630000000002,4.016547539121407,1,P1,triclinic,0.01,1.349572754617655,1.571609409268916,0.2220366546512611,3.0,4.0,0.0,0.0,45,train,huggingface,C-152587-3980-5,0.2959023333333164,5.913711059550884,0.6992928054086043,0.0330249356089299,0.5004024233381879
C,C,16,2.45885,5.776,7.55007,60.075,81.91673,87.22127,40.78699999999999,11.747904252425432,1,P1,triclinic,0.01,1.44427043459342,1.6334980195330708,0.1892275849396507,3.0,4.0,0.0,0.0,46,train,huggingface,C-177280-5724-23,0.4733915833333242,5.74875319977705,3.419635195314883,0.0318180365910301,0.3767701610564367
C,C,12,3.30757,4.27802,7.10948,54.14623,61.2089,73.85797,80.7869,8.154296571756236,1,P1,triclinic,0.01,1.450191962408509,1.7081494324093227,0.2579574700008138,4.0,4.0,0.0,0.0,47,train,huggingface,C-90811-1769-2,0.4397678333333488,5.954637077177995,1.44285986388799,0.0401298477113684,-1.0000000826903709e-10
C,C,6,3.62367,2.83337,4.81797,84.90278,112.08675,97.55562,34.73958999999999,11.106636274985425,12,C2/m,monoclinic,0.01,1.3795212339649552,1.4423760900221907,0.0628548560572355,3.0,3.0,0.0,0.0,48,train,huggingface,C-13893-8599-30,0.4096241666666742,7.566190405582826,0.5476768027993719,0.0160666948729464,-1.0000000826903709e-10
C,C,20,2.45637,7.11258,7.73614,65.77301,99.27453,83.55453,39.94699,13.685566995199316,1,P1,triclinic,0.01,1.35974742862912,1.6196150971330314,0.2598676685039114,3.0,4.0,0.0,0.0,49,train,huggingface,C-150699-6622-10,0.3745483333333368,5.961521745697696,4.044985079609342,0.0376973991044477,0.6108643018548935
C,C,8,2.48756,4.76294,5.31212,63.09856,62.09592,58.4808,86.32472000000001,1.9832097160803648,10,P2/m,monoclinic,0.01,1.4685468926354792,1.640110507723329,0.1715636150878494,4.0,4.0,0.0,0.0,50,train,huggingface,C-34643-7107-42,0.1940290833333335,5.6969229590294015,2.0501776841563624,0.0319997545584671,-1.0000000826903709e-10
C,C,10,2.4542399999999995,4.47124,7.05104,87.39195,80.93604,75.78663999999999,25.88537000000001,4.747845294729905,1,P1,triclinic,0.01,1.357719222474594,1.5203356652197102,0.1626164427451162,3.0,4.0,0.0,0.0,51,train,huggingface,C-157691-3994-32,0.4489033333333339,7.406750541699502,2.6948464697829078,0.0382633694300158,0.5004024233381879
C,C,8,3.4403200000000003,4.837199999999999,4.25193,90.05547,90.06837,134.86614,44.98998,21.120912515092712,2,P-1,triclinic,0.01,1.3884128493547327,1.67603832606955,0.2876254767148172,3.0,4.0,0.0,0.0,52,train,huggingface,C-80191-3962-6,0.4337653333333264,6.268802026925601,0.6419431913310385,0.0599447330323281,0.6931471803599453
C,C,6,2.44094,2.54908,7.71005,118.02238,73.25978,87.14599,47.61661000000001,18.70789686604801,2,P-1,triclinic,0.01,1.3972989028658325,1.4614746849471558,0.0641757820813233,3.0,3.0,0.0,0.0,53,train,huggingface,C-189709-289-43,0.4813024999999982,6.594991041144616,2.202942309110425,0.0171185738233385,-1.0000000826903709e-10
C,C,8,3.09071,4.85615,4.74049,105.47607000000002,106.75225000000002,112.10975000000002,54.33807000000006,2.8739665192668244,2,P-1,triclinic,0.01,1.3997954661377083,1.4027877012519718,0.0029922351142634,3.0,3.0,0.0,0.0,54,train,huggingface,C-170898-6159-52,0.1098278333333269,7.149140353711463,1.1049952923438309,0.0007299859103031,-1.0000000826903709e-10
C,C,12,2.43888,4.831249999999999,8.76224,85.06958,82.04823,59.656220000000005,43.22596999999999,11.335144630514815,1,P1,triclinic,0.01,1.3243261399918445,1.5651787367156031,0.2408525967237587,3.0,4.0,0.0,0.0,55,train,huggingface,C-57133-9728-38,0.3047903333333295,7.352362192460958,3.5736608607229536,0.0404700133651925,0.6365141680948128
C,C,8,2.45636,3.661960000000001,6.47468,73.11503,79.03665,70.4384,47.40992,3.592582399021006,12,C2/m,monoclinic,0.01,1.3965635908942844,1.5814771802367111,0.1849135893424267,3.0,4.0,0.0,0.0,56,train,huggingface,C-73671-1897-10,0.2700728333333302,6.529165821321785,2.126691527300559,0.0333242933506729,0.5623351444188083
C,C,6,2.47969,3.689140000000001,4.89598,92.80397000000002,120.46398,109.61830000000002,52.88625000000005,11.379448440116356,12,C2/m,monoclinic,0.01,1.493156829461905,1.5699958516396797,0.0768390221777743,4.0,4.0,0.0,0.0,57,train,huggingface,C-172967-546-37,0.2398354999999981,5.835720494900464,1.462174707322286,0.0155921691677998,-1.0000000826903709e-10
C,C,10,2.49377,5.58591,5.58147,60.34651,63.494450000000015,63.508480000000006,82.65055999999998,1.4872710791319226,65,Cmmm,orthorhombic,0.01,1.3973730231379686,1.5288647230887322,0.1314916999507636,3.0,4.0,0.0,0.0,58,train,huggingface,C-13919-5282-28,0.3123713333333455,5.787307638044164,2.478111453742727,0.0189906482102065,0.5004024233381879
C,C,6,3.07389,2.43105,6.40838,79.30188,80.45686000000002,108.55747,38.79872999999998,13.527206361094002,12,C2/m,monoclinic,0.01,1.397477850723308,1.4083247866212938,0.0108469358979859,3.0,3.0,0.0,0.0,59,train,huggingface,C-136210-9760-32,0.108414666666647,7.215017152393163,1.2939077195345314,0.0029243830262137,-1.0000000826903709e-10
C,C,6,2.48734,3.51754,4.30524,114.10426,106.7983,89.98361000000001,40.91894999999998,10.099046202159656,227,Fd-3m,cubic,0.01,1.5217175068477116,1.523858422754623,0.0021409159069114,4.0,4.0,0.0,0.0,60,train,huggingface,C-176683-1873-9,0.0106076666666581,5.436007957596323,1.1450384748365725,0.0006621664073448,-1.0000000826903709e-10
C,C,6,2.45505,2.53411,6.38348,97.0597,90.78107,88.28706999999999,9.553699999999992,3.690833507094152,1,P1,triclinic,0.01,1.4026672507409266,1.467317529174532,0.0646502784336053,3.0,3.0,0.0,0.0,61,train,huggingface,C-152601-7805-20,0.47848616666667,6.565547809420541,1.6323455734099102,0.017733704847502,-1.0000000826903709e-10
C,C,8,2.47344,4.11774,4.28084,90.01627,90.02133,90.05664000000002,0.0942400000000276,0.0185242748505717,194,P6_3/mmc,hexagonal,0.01,1.51683234835707,1.5441219553286116,0.0272896069715415,4.0,4.0,0.0,0.0,62,train,huggingface,C-80195-4794-23,0.0332740833333389,5.450031973927794,1.3955058541949674,0.0075772076016571,-1.0000000826903709e-10
C,C,6,2.48133,3.6885,4.21732,104.90405,89.96525,109.64933,34.58813000000001,8.387480307410566,12,C2/m,monoclinic,0.01,1.4912827462704827,1.5724941886092767,0.0812114423387939,4.0,4.0,0.0,0.0,63,train,huggingface,C-72716-3406-31,0.2477038333333325,5.828534384464798,1.1861219587882306,0.0157931695891509,-1.0000000826903709e-10
C,C,8,2.43219,4.22553,4.81571,97.71599000000002,75.39092,106.68976000000002,39.014830000000046,13.159511489849812,12,C2/m,monoclinic,0.01,1.4673055637550354,1.5479745696247382,0.0806690058697028,3.0,4.0,0.0,0.0,64,train,huggingface,C-102875-8418-52,0.3306003333333365,5.721579850284662,1.7173247155855422,0.0199016667483095,0.5623351444188083
C,C,6,2.48163,3.68952,4.84298,122.57435,75.1076,109.67241,67.13916,20.039623254559675,2,P-1,triclinic,0.01,1.4942763549768865,1.5726366716688949,0.0783603166920083,4.0,4.0,0.0,0.0,65,train,huggingface,C-13911-8164-43,0.2426628333333269,5.837556905975558,1.4382643665655233,0.0158316427034654,-1.0000000826903709e-10
C,C,8,2.5272299999999994,4.29869,5.3986,121.08768000000002,110.98258,84.94964000000002,57.12062,15.223464878255104,2,P-1,triclinic,0.01,1.3002497192614355,1.587923700759038,0.2876739814976023,3.0,4.0,0.0,0.0,66,train,huggingface,C-13691-2934-46,0.4878644199999996,5.818749009203985,1.837122066452203,0.0464355982213979,0.5623351444188083
C,C,6,2.47711,2.47756,6.77864,89.98553999999999,111.41276000000002,120.04054,51.46776000000003,12.63534447341531,5,C2,monoclinic,0.01,1.5177632225148752,1.5416748277672174,0.0239116052523422,4.0,4.0,0.0,0.0,67,train,huggingface,C-136247-3248-43,0.0231518333333156,5.442758784290324,1.7366931625967357,0.0053379914737042,-1.0000000826903709e-10
C,C,6,2.7052,4.31972,4.81317,109.30314,88.80719,122.94162,53.43757000000001,14.028745942757045,2,P-1,triclinic,0.01,1.3776057176105885,1.4331296053324176,0.0555238877218291,3.0,3.0,0.0,0.0,68,train,huggingface,C-176685-9184-46,0.4465578333333155,7.273783470350639,1.3760498299571198,0.0120102099867837,-1.0000000826903709e-10
C,C,10,4.39822,4.26598,5.94355,108.59142,112.23788000000002,120.87945,71.70875000000001,5.152874967513006,2,P-1,triclinic,0.01,1.325190792208041,1.559066000489945,0.233875208281904,3.0,4.0,0.0,0.0,69,train,huggingface,C-28264-8801-10,0.4159213333333298,6.763766818200166,0.3814202109035018,0.0494276846112612,0.6730116668092565
C,C,6,2.82869,3.62617,4.81526,67.88668,87.9196,95.63861,29.832330000000013,11.695538645290734,2,P-1,triclinic,0.01,1.380890826195077,1.4436534755871673,0.0627626493920903,3.0,3.0,0.0,0.0,70,train,huggingface,C-189748-4840-35,0.4121418333333224,7.565486581594738,0.984218843351516,0.0159313273618802,-1.0000000826903709e-10
C,C,6,2.99226,4.21033,4.20638,119.96836,80.8099,113.55317,62.71163,17.14857098873321,2,P-1,triclinic,0.01,1.401649999431378,1.404091254023372,0.002441254591994,3.0,3.0,0.0,0.0,71,train,huggingface,C-172971-7940-1,0.1307581666666806,7.0051144191423775,0.8128270939022679,0.0007095500250895,-1.0000000826903709e-10
C,C,6,2.45251,5.76904,4.11436,51.52309,90.05447000000001,101.93249000000002,50.46387000000002,21.517079036029862,2,P-1,triclinic,0.01,1.3108283722453042,1.5493330366380904,0.2385046643927861,3.0,4.0,0.0,0.0,72,train,huggingface,C-157715-9420-2,0.3758663333333345,7.327247837352826,2.0299122123864937,0.0445637172873272,0.6365141680948128
C,C,6,2.4777,2.47796,6.31085,89.99148000000001,101.32183,120.02738999999995,41.35773999999997,12.38471591906822,8,Cm,monoclinic,0.01,1.5166603677604067,1.5436650631716766,0.0270046954112699,4.0,4.0,0.0,0.0,73,train,huggingface,C-40100-7984-28,0.0292866666666782,5.445489294639191,1.5471647092061185,0.0058158783634818,-1.0000000826903709e-10
C,C,10,2.48272,3.78278,7.99338,109.52079000000002,108.07398,89.93674000000001,37.65803000000001,8.910591378280618,1,P1,triclinic,0.01,1.347047389566839,1.5599578525476985,0.2129104629808593,3.0,4.0,0.0,0.0,74,train,huggingface,C-126136-4977-23,0.4605423333333363,6.682203751739536,2.7432493394341693,0.0407138061798632,0.6730116668092565
C,C,6,2.48175,4.84618,3.69051,57.319100000000006,70.346,75.21913,67.11576999999998,7.55614976623383,12,C2/m,monoclinic,0.01,1.492528934680996,1.569056572453659,0.0765276377726629,4.0,4.0,0.0,0.0,75,train,huggingface,C-40134-7379-39,0.2439086666666696,5.838494845701067,1.439786441019442,0.0153272236080651,-1.0000000826903709e-10
